,Unnamed: 0,count,hate_speech,offensive_language,neither,class,text,has_toxicity,clean_text
0,10240,3,0,1,2,2,"I LOVE my 10 &amp; 5 but most days they remind me why birth control is important later in life.

I miss my ""baby bird""! Come home, 18!
@somehoee",0,"i love my 10 amp 5 but most days they remind me why birth control is important later in life. i miss my ""baby bird""! come home, 18!"
1,16209,9,0,9,0,1,RT @JoeBudden: Women all over America are overstating the value of pussy.,1,rt women all over america are overstating the value of pussy.
2,17089,3,0,3,0,1,"RT @NothingLikeIt15: These hoes getting dressed up as hoes for Halloween, just to do what they always do every other night.",1,"rt these hoes getting dressed up as hoes for halloween, just to do what they always do every other night."
3,2296,3,0,3,0,1,"35-11.

Touchdown with :28 on the clock.

Michigan some hoes.",1,35-11. touchdown with 28 on the clock. michigan some hoes.
4,12441,3,0,0,3,2,Just hit 40 in flappy bird.&#128527;,0,just hit 40 in flappy bird.128527
5,22915,3,0,0,3,2,"WEBBERS! RT @DMILZ4: Sz13 vnds restorers dream, cracked midsole, sole separation, and fogged bubbles. 150 http://t.co/yC81VG2kg1",0,"webbers! rt sz13 vnds restorers dream, cracked midsole, sole separation, and fogged bubbles. 150"
6,19771,3,0,0,3,2,RT @jemelehill: Just saw Dawn of The Planet of the Apes. One of the better moves I've seen this year. I didn't know if I wanted the apes or&#8230;,0,rt just saw dawn of the planet of the apes. one of the better moves i've seen this year. i didn't know if i wanted the apes or8230
7,18415,3,0,3,0,1,RT @WORIDSTARHlPHOP: When a bad bitch asks you to come over http://t.co/f6eXLRZ8Vd,1,rt when a bad bitch asks you to come over
8,13219,3,0,0,3,2,"Moral to the story: If you like the Yanks, I'll pretty much do anything you tell me to do.",0,"moral to the story if you like the yanks, i'll pretty much do anything you tell me to do."
9,4314,3,0,3,0,1,"@Mr_Lewis_ @brookebrooklyn_ ohh yaa, he wants Brooke to be his pinkie toe so he can bang it on the coffee table. What a twat!! Lol",1,"ohh yaa, he wants brooke to be his pinkie toe so he can bang it on the coffee table. what a twat!! lol"
10,17509,3,0,3,0,1,RT @RobIsRandomAF_6: Tyrese a baby back bitch! Hope they kill him before Black History Month. #AMCWalkingDead,1,rt tyrese a baby back bitch! hope they kill him before black history month. amcwalkingdead
11,22173,3,0,0,3,2,These birds messy.,0,these birds messy.
12,20730,3,0,0,3,2,RT @vexedmentals: draya really out catching a tan while her son looking out the window like the ikea monkey while everybody trick or treati&#8230;,0,rt draya really out catching a tan while her son looking out the window like the ikea monkey while everybody trick or treati8230
13,485,3,0,3,0,1,"""I guess this is the night bitches die...!!!!"" Stewie is that nigga...!",1,"""i guess this is the night bitches die...!!!!"" stewie is that nigga...!"
14,14288,4,0,4,0,1,Put a b&#299;tch pussy on first 48,1,put a b299tch pussy on first 48
15,12413,3,0,3,0,1,Juniors are still pussies,1,juniors are still pussies
16,23403,3,0,3,0,1,Why you worried bout that other hoe? Cuz that other hoe aint worried bout another hoe,1,why you worried bout that other hoe? cuz that other hoe aint worried bout another hoe
